Neighborhood,Population
Allendale/Irvington/S. Hilton,16217
Beechfield/Ten Hills/West Hills,12264
Belair-Edison,17416
Brooklyn/Curtis Bay/Hawkins Point,14243
Canton,8100
Cedonia/Frankford,23557
Cherry Hill,8202
Chinquapin Park/Belvedere,7756
Claremont/Armistead,8231
Clifton-Berea,9874
Cross-Country/Cheswolde,13034
Dickeyville/Franklintown,4101
Dorchester/Ashburton,11786
Downtown/Seton Hill,6446
Edmondson Village,7900
Fells Point,9039
Forest Park/Walbrook,9849
Glen-Fallstaff,14914
Greater Charles Village/Barclay,16391
Greater Govans,10681
Greater Mondawmin,9322
Greater Roland Park/Poplar Hill,7377
Greater Rosemont,19259
Greenmount East,8184
Hamilton,13002
Harbor East/Little Italy,5407
Harford/Echodale,16839
Highlandtown,7250
Howard Park/West Arlington,10873
Inner Harbor/Federal Hill,12855
Lauraville,12273
Loch Raven,15311
Madison/East End,7781
Medfield/Hampden/Woodberry/Remington,17388
Midtown,15020
Midway/Coldstream,9624
Morrell Park/Violetville,8964
Mount Washington/Coldspring,5168
North Baltimore/Guilford/Homeland,17464
Northwood,16643
Oldtown/Middle East,10021
Orangeville/East Highlandtown,9131
Patterson Park North & East,14549
Penn North/Reservoir Hill,9668
Pimlico/Arlington/Hilltop,11816
Poppleton/The Terraces/Hollins Market,5086
Sandtown-Winchester/Harlem Park,14896
South Baltimore,6406
Southeastern,6260
Southern Park Heights,13284
Southwest Baltimore,17885
The Waverlies,7753
Upton/Druid Heights,10342
Washington Village/Pigtown,5503
Westport/Mount Winans/Lakeland,7119
